time,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,temperature_2m,wind_speed_100m,hour,day,month,day_of_week,AQI,aqi_change_rate
2025-01-01 00:00:00,28.3,26.9,510.0,7.7,12.2,79.0,16.0,20.6,0,1,1,2,107.6,0.0
2025-01-01 01:00:00,28.9,27.2,730.0,14.1,13.1,72.0,15.4,21.1,1,1,1,2,108.8,1.2000000000000028
2025-01-01 02:00:00,31.8,30.0,1064.0,22.8,14.3,63.0,15.2,19.6,2,1,1,2,120.0,11.200000000000003
2025-01-01 03:00:00,36.8,34.9,1289.0,27.7,16.0,62.0,15.3,18.9,3,1,1,2,139.6,19.599999999999994
2025-01-01 04:00:00,40.0,38.4,1304.0,25.4,18.5,74.0,16.8,19.1,4,1,1,2,153.6,14.0
2025-01-01 05:00:00,42.3,40.3,1209.0,19.4,21.4,94.0,19.0,12.8,5,1,1,2,161.2,7.599999999999994
2025-01-01 06:00:00,43.3,40.9,1087.0,14.1,23.4,112.0,21.5,10.5,6,1,1,2,163.6,2.4000000000000057
2025-01-01 07:00:00,41.0,38.0,926.0,10.9,23.7,125.0,23.6,11.8,7,1,1,2,152.0,-11.599999999999994
2025-01-01 08:00:00,39.6,35.2,737.0,8.4,23.0,137.0,25.0,12.0,8,1,1,2,140.8,-11.199999999999989
2025-01-01 09:00:00,39.5,33.2,631.0,7.5,22.5,143.0,25.8,11.5,9,1,1,2,132.8,-8.0
2025-01-01 10:00:00,39.8,32.7,666.0,7.6,22.6,145.0,26.2,10.3,10,1,1,2,130.8,-2.0
2025-01-01 11:00:00,40.4,32.4,785.0,9.3,22.8,141.0,26.1,9.4,11,1,1,2,129.6,-1.200000000000017
2025-01-01 12:00:00,44.0,35.7,929.0,15.0,23.5,133.0,25.6,10.2,12,1,1,2,142.8,13.200000000000017
2025-01-01 13:00:00,52.7,47.4,1125.0,29.0,22.3,108.0,24.8,11.5,13,1,1,2,189.6,46.79999999999998
2025-01-01 14:00:00,57.5,53.8,1347.0,47.7,20.7,75.0,23.6,10.9,14,1,1,2,215.2,25.599999999999994
2025-01-01 15:00:00,56.7,53.7,1455.0,57.7,19.2,53.0,22.5,11.2,15,1,1,2,214.8,-0.39999999999997726
2025-01-01 16:00:00,56.0,53.2,1356.0,50.6,18.1,54.0,21.7,14.7,16,1,1,2,212.8,-2.0
2025-01-01 17:00:00,55.9,53.2,1143.0,34.7,17.2,66.0,20.5,16.6,17,1,1,2,212.8,0.0
2025-01-01 18:00:00,56.6,53.6,962.0,21.7,16.4,76.0,19.3,17.8,18,1,1,2,214.4,1.5999999999999943
2025-01-01 19:00:00,56.8,53.6,868.0,16.0,15.8,79.0,18.5,18.1,19,1,1,2,214.4,0.0
2025-01-01 20:00:00,56.2,52.6,807.0,13.0,15.4,79.0,17.9,17.9,20,1,1,2,210.4,-4.0
2025-01-01 21:00:00,54.8,51.1,755.0,11.0,15.2,79.0,17.2,17.8,21,1,1,2,204.4,-6.0
2025-01-01 22:00:00,53.3,49.6,680.0,8.5,15.2,80.0,16.8,17.3,22,1,1,2,198.4,-6.0
2025-01-01 23:00:00,52.0,48.5,615.0,7.0,15.5,82.0,16.2,17.4,23,1,1,2,194.0,-4.400000000000006
